branching_factor,spillover,max_leaf_size,max_iterations,epsilon,beam_size,recall,qps,leaf_node_count,total_leaf_points
10,3,200,10,0.01,1,0.37513999999999903,103308.54072987774
10,3,200,10,0.01,2,0.45269999999999916,63775.815254218374
10,3,200,10,0.01,5,0.5859800000000045,30845.387366275918
10,3,200,10,0.01,10,0.7039000000000087,15296.21895883985
10,3,200,10,0.01,20,0.8363200000000252,9333.813091326228
10,3,200,10,0.01,50,0.9288600000000117,4433.078197447774
10,3,200,10,0.01,100,0.951380000000005,2479.0134468506644
10,3,200,10,0.01,200,0.9587000000000023,1429.8288780970272
10,3,200,10,0.01,500,0.9596800000000021,623.651123849672
20,2,200,10,0.01,1,0.32450174603174226,96308.18557747554
20,2,200,10,0.01,2,0.4097685714285706,66331.06772496205
20,2,200,10,0.01,5,0.5475400000000034,30981.501719860615
20,2,200,10,0.01,10,0.6586800000000077,17303.176052296374
20,2,200,10,0.01,20,0.7607800000000156,9675.19640043993
20,2,200,10,0.01,50,0.8733000000000201,5095.184413830878
20,2,200,10,0.01,100,0.9226400000000132,3854.0785461315613
20,2,200,10,0.01,200,0.9471800000000061,2156.1603441576895
20,2,200,10,0.01,500,0.9575600000000026,971.047364989593
20,3,200,10,0.01,1,0.39698396825396787,111477.22958305132
20,3,200,10,0.01,2,0.4935600000000004,73638.9681395555
20,3,200,10,0.01,5,0.6478200000000034,30755.319901459952
20,3,200,10,0.01,10,0.7625800000000148,18514.024273411378
20,3,200,10,0.01,20,0.8516400000000205,10389.62118402201
20,3,200,10,0.01,50,0.9307400000000098,5225.977130340181
20,3,200,10,0.01,100,0.952440000000006,2851.23855307912
20,3,200,10,0.01,200,0.9583800000000027,1543.1928295016787
20,3,200,10,0.01,500,0.9597400000000019,677.5140390648158
